dataset,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,,,,,,borda,nan_geom_cnt,nan_sum_cnt,rank_borda,rank_geom,rank_sum,score_geom,score_sum,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data
backbone,backbone_name,loss_function,pre_training_strategy,model_type,model_size,ft_strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convnext_base.fb_in22k,"convnext_b,sup,in22k",TRADES_v2,supervised,fully convolutional,large,FFT (50 epochs),4644.0,0,0,1.0,1.0,1.0,1.3206448973856444,19.789301587301587,0.86,0.888,0.841,762.0,0.959,0.854,0.52599775515168,4.401999999999999,14197122,0.133,0.342,0.37,786.0,0.663,0.59,0.0065833206894,2.098,14197122,0.639,0.769,0.677,795.0,0.907,0.821,0.24772298860242903,3.8129999999999997,14197122,0.236,0.494,0.439,746.0,0.82,0.69,0.02895785674079999,2.679,14197122,0.17333333333333334,0.444,0.449,769.0,0.742,0.635,0.016281298196800003,2.4433333333333334,14197122,0.8238095238095238,0.9,0.8,786.0,0.9666666666666667,0.8634920634920635,0.49510167800453525,4.3539682539682545,14197122
CLIP-convnext_base_w-laion2B-s13B-b82K,"convnext_b,clip,laion2b",TRADES_v2,self-supervised (multimodal),fully convolutional,large,FFT (50 epochs),4433.0,0,0,4.0,6.0,2.0,1.0018782578440377,19.396968253968254,0.803,0.8546666666666667,0.806,686.0,0.937,0.844,0.4374509769054188,4.244666666666667,2320000000,0.04,0.33066666666666666,0.46,773.0,0.739,0.66,0.002967540224,2.2296666666666667,2320000000,0.525,0.635,0.462,729.0,0.852,0.728,0.095531363928,3.202,2320000000,0.102,0.407,0.445,712.0,0.825,0.6933333333333334,0.010566973559999998,2.4723333333333333,2320000000,0.096,0.567,0.687,780.0,0.889,0.772,0.025664339417472,3.011,2320000000,0.7492063492063492,0.888095238095238,0.8,753.0,0.9523809523809523,0.8476190476190476,0.42969706380914674,4.237301587301587,2320000000
coatnet_2_rw_224.sw_in12k,"coatnet_2,sup,in12k",TRADES_v2,supervised,hybrid,large,FFT (50 epochs),4480.0,0,0,3.0,3.0,3.0,1.0854874200793625,18.87442857142857,0.816,0.864,0.828,734.0,0.952,0.865,0.48071457939455986,4.324999999999999,9000000,0.066,0.288,0.378,761.0,0.64,0.5773333333333334,0.00265481846784,1.9493333333333336,9000000,0.52,0.6933333333333334,0.606,774.0,0.893,0.8066666666666666,0.15738510139733333,3.519,9000000,0.159,0.398,0.365,690.0,0.806,0.663,0.01234302563754,2.391,9000000,0.105,0.435,0.5,765.0,0.766,0.6626666666666666,0.011592375899999998,2.4686666666666666,9000000,0.7928571428571428,0.8666666666666667,0.7404761904761905,756.0,0.9595238095238096,0.861904761904762,0.4207975192820893,4.2214285714285715,9000000
coatnet_2_rw_224.sw_in12k_ft_in1k,"coatnet_2,sup,in12k-in1k",TRADES_v2,supervised (multistep),hybrid,large,FFT (50 epochs),4491.0,0,0,2.0,2.0,4.0,1.1471184569610828,18.743904761904762,0.8,0.8813333333333333,0.8413333333333334,752.0,0.96,0.8653333333333333,0.4927798549617778,4.348,10281167,0.048,0.254,0.322,733.0,0.614,0.548,0.0013209298529280001,1.786,10281167,0.489,0.674,0.604,765.0,0.885,0.792,0.13953210514848002,3.444,10281167,0.158,0.42,0.409,717.0,0.822,0.7026666666666667,0.015676563094079998,2.5116666666666663,10281167,0.095,0.395,0.465,741.0,0.741,0.613,0.007925968396125001,2.309,10281167,0.819047619047619,0.8952380952380953,0.8023809523809524,783.0,0.9714285714285714,0.8571428571428571,0.4898830355076919,4.345238095238095,10281167
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,"convnext_b,clip,laiona",TRADES_v2,self-supervised (multimodal),fully convolutional,large,FFT (50 epochs),4358.0,0,0,5.0,21.0,5.0,0.6513430776831238,18.235888888888887,0.794,0.856,0.8093333333333333,701.0,0.952,0.85,0.4451204720554667,4.261333333333333,900000000,0.046,0.33066666666666666,0.444,773.0,0.717,0.6253333333333333,0.0030280424151039997,2.1630000000000003,900000000,0.444,0.671,0.624,764.0,0.88,0.7893333333333333,0.12913179721728002,3.408333333333333,900000000,0.104,0.4266666666666667,0.429,704.0,0.814,0.6893333333333334,0.010681519336106667,2.463,900000000,0.096,0.556,0.686,775.0,0.87,0.76,0.024210456883200004,2.968,900000000,0.5190476190476191,0.5206349206349207,0.19365079365079366,641.0,0.9555555555555556,0.7833333333333333,0.03917078977596657,2.9722222222222223,900000000
swin_base_patch4_window7_224.ms_in22k_ft_in1k,"swin_b,sup,ink22k-in1k",TRADES_v2,supervised (multistep),fully attention,large,FFT (50 epochs),4347.0,0,0,6.0,4.0,6.0,1.0377076665930565,18.05390476190476,0.836,0.8666666666666667,0.797,705.0,0.938,0.851,0.4609449810298666,4.288666666666666,15478289,0.068,0.264,0.298,732.0,0.606,0.52,0.0016857962035200004,1.756,15478289,0.545,0.658,0.532,749.0,0.859,0.744,0.12192706720992003,3.338,15478289,0.216,0.43,0.336,696.0,0.787,0.656,0.01611165136896,2.425,15478289,0.12,0.338,0.307,713.0,0.686,0.55,0.004698109416000001,2.0010000000000003,15478289,0.8547619047619047,0.8761904761904762,0.7214285714285714,752.0,0.9547619047619048,0.8380952380952381,0.4323400613647899,4.245238095238095,15478289
eva02_base_patch14_224.mim_in22k,"eva02_b,mim,ink22k",TRADES_v2,self-supervised,fully attention,large,FFT (50 epochs),4346.0,0,0,7.0,22.0,7.0,0.651284923495774,17.59952380952381,0.844,0.89,0.824,738.0,0.949,0.856,0.5028050628889599,4.3629999999999995,14197122,0.09866666666666667,0.331,0.328,753.0,0.5946666666666667,0.541,0.003446221235825778,1.8933333333333335,14197122,0.404,0.625,0.5386666666666666,724.0,0.828,0.7186666666666667,0.08093555008,3.114333333333333,14197122,0.224,0.451,0.36666666666666664,687.0,0.768,0.631,0.0179509141504,2.440666666666667,14197122,0.118,0.42,0.442,757.0,0.749,0.633,0.010385779425840002,2.362,14197122,0.07380952380952381,0.8,0.7619047619047619,687.0,0.9761904761904762,0.8142857142857143,0.035761395714748484,3.4261904761904765,14197122
convnext_base.fb_in22k_ft_in1k,"convnext_b,sup,in22k-in1k",TRADES_v2,supervised (multistep),fully convolutional,large,FFT (50 epochs),4124.0,0,0,12.0,12.0,8.0,0.8156723898340401,17.01639682539683,0.857,0.898,0.842,768.0,0.958,0.86,0.53386716451856,4.415,15478289,0.11,0.352,0.379,783.0,0.66,0.579,0.0056078586432,2.08,15478289,0.632,0.758,0.669,789.0,0.896,0.815,0.23403349595136003,3.77,15478289,0.25333333333333335,0.492,0.424,745.0,0.819,0.7013333333333334,0.030355100805119998,2.6896666666666667,15478289,0.169,0.395,0.393,749.0,0.726,0.62,0.011808769915800002,2.303,15478289,0.0,0.0,0.0,290.0,0.9523809523809523,0.8063492063492064,0.0,1.7587301587301587,15478289
